,name,lat,lon
0,La Acebeda,41.0869583,-3.624399
1,Ajalvir,40.5342302,-3.4807818
2,Alameda del Valle,40.9177178,-3.8438216
3,El Álamo,40.2307296,-3.9905893
4,Alcalá de Henares,40.4818396,-3.3644973
5,Alcobendas,40.5400082,-3.6358494
6,Alcorcón,40.3492998,-3.8284295
7,Aldea del Fresno,40.3215212,-4.19936
8,Algete,40.5961652,-3.4974246
9,Alpedrete,40.6599005,-4.0251223
10,Ambite,40.3289723,-3.1812115
11,Anchuelo,40.4653862,-3.2689196
12,Aranjuez,40.03221,-3.6039604
13,Arganda del Rey,40.3007708,-3.4380688
14,Arroyomolinos,39.1855991,-6.1630632
15,El Atazar,40.9343489,-3.4710919
16,Batres,40.2091393,-3.9215947
17,Becerril de la Sierra,40.7163374,-3.9890681
18,Belmonte de Tajo,40.1336305,-3.3398654
19,El Berrueco,40.8889705,-3.5614344
20,Berzosa del Lozoya,40.9757802,-3.5236736
21,Boadilla del Monte,40.4053485,-3.8764663
22,El Boalo,40.7173359,-3.9202198
23,Braojos,41.0400124,-3.6425888
24,Brea de Tajo,40.2302134,-3.1092543
25,Brunete,40.4050499,-3.9979912
26,Buitrago del Lozoya,40.9953477,-3.6350501
27,Bustarviejo,40.8587766,-3.7097632
28,Cabanillas de la Sierra,40.8216089,-3.6259742
29,Cabrera Lane,13.3472446,144.7586507
30,Cadalso de los Vidrios,40.3014283,-4.4408876
31,Camarma de Esteruelas,40.5490368,-3.3786211
32,Campo Real,40.3381881,-3.3813911
33,Canencia,40.9095894,-3.7375609
34,Carabaña,40.256626,-3.2347206
35,Casarrubuelos,40.1707803,-3.8308526
36,Cenicientos,40.2631894,-4.4669801
37,Cercedilla,40.7412931,-4.0558002
38,Cervera de Buitrago,40.9211319,-3.5293404
39,Chapinería,40.379164,-4.2097254
40,Chinchón,40.1408293,-3.4231474
41,Ciempozuelos,40.1580087,-3.6205514
42,Cobeña,40.5676083,-3.5048565
43,Collado Mediano,40.6943707,-4.0247212
44,Collado Villalba,40.6431496,-3.9930128
45,Colmenar del Arroyo,40.4179997,-4.1972768
46,Colmenar de Oreja,40.1074198,-3.3871634
47,Colmenarejo,40.5607257,-4.0165248
48,Colmenar Viejo,40.6587726,-3.7659722
49,Corpa,40.4235374,-3.2652482
50,Coslada,40.423802,-3.5552882
51,Cubas de la Sagra,40.1908352,-3.8378366
52,Daganzo de Arriba,40.5451953,-3.45785
53,Real Monasterio de San Lorenzo de El Escorial,40.5890661,-4.147394873409854
54,Estremera,40.1847306,-3.1062403
55,Fresnedillas de la Oliva,40.486444,-4.1723486
56,Fresno de Torote,40.5922684,-3.4119681
57,Fuenlabrada,40.282476,-3.7923422
58,Fuente el Saz de Jarama,40.6312151,-3.5125918
59,Fuentidueña de Tajo,40.1185446,-3.160254
60,Galapagar,40.5774992,-4.0037748
61,Garganta de los Montes,40.9216084,-3.6866546
62,Gargantilla del Lozoya y Pinilla de Buitrago,40.96551504999999,-3.7077907634147276
63,Gascones,41.0185654,-3.641499
64,Getafe,40.3070639,-3.7331808
65,Griñón,40.2136607,-3.8581479
66,Guadalix de la Sierra,40.7822384,-3.7007794
67,Guadarrama,40.6734454,-4.0893911
68,La Hiruela,41.0779223,-3.4552928
69,Horcajo de la Sierra-Aoslos,41.078683,-3.583901523172418
70,Horcajuelo de la Sierra,41.0601151,-3.5457391
71,Hoyo de Manzanares,40.6227334,-3.9072054
72,Humanes de Madrid,40.2508847,-3.8270997
73,Leganes,10.785528,122.5888137
74,Loeches,40.3837901,-3.4092281
75,Lozoya,40.9513281,-3.7917078
76,Lozoyuela-Navas-Sieteiglesias,40.9263383,-3.6176377
77,Madarcos,41.0477311,-3.5821549
78,Madrid,40.4167047,-3.7035825
79,Majadahonda,40.473055,-3.8724138
80,Manzanares el Real,40.7267632,-3.864981
81,Meco,40.553746,-3.3281561
82,Mejorada del Campo,40.3971785,-3.4896068
83,Miraflores de la Sierra,40.8137532,-3.7667236
84,El Molar,40.7347865,-3.584376
85,Molinos Los,6.4833333,-72.65
86,Montejo de la Sierra,41.0593529,-3.530299
87,Moraleja de Enmedio,40.2615532,-3.8612117
88,Moralzarzal,40.6791436,-3.9720985
89,Morata de Tajuña,40.2294297,-3.4366925
90,Móstoles,40.3238525,-3.8649214
91,Navacerrada,40.7287926,-4.0151676
92,Navalafuente,40.8232617,-3.6747292
93,Navalagamella,40.4690591,-4.1227079
94,Navalcarnero,40.2877169,-4.014299
95,Navarredonda y San Mamés,41.00736645,-3.7315049706950285
96,Navas del Rey,40.3863666,-4.2508402
97,Nuevo Baztán,40.3659255,-3.2443102
98,Olmeda de las Fuentes,40.3695225,-3.2213199
99,Orusco de Tajuña,40.2853409,-3.2096521
100,Paracuellos de Jarama,40.5048527,-3.5317621
101,Parla,40.2373952,-3.7718902
102,Patones,40.8548194,-3.483954
103,Pedrezuela,40.7451088,-3.6030185
104,Pelayos de la Presa,40.3605272,-4.3334254
105,Perales de Tajuña,40.2325718,-3.3517265
106,Pezuela de las Torres,40.4186483,-3.1778029
107,Pinilla del Valle,40.9261949,-3.8184676
108,Pinto,40.240985,-3.7005072
109,Piñuécar-Gandullas,41.03554635,-3.599475586218161
110,Pozuelo de Alarcón,40.4346528,-3.814834
111,Pozuelo del Rey,40.3664055,-3.3200082
112,Prádena del Rincón,41.0443369,-3.5402284
113,Puebla de la Sierra,41.0121247,-3.4444367
114,Manjirón,40.9654041,-3.5828764
115,Quijorna,40.4290833,-4.0565378
116,Rascafría,40.9038871,-3.8802853
117,Redueña,40.8158054,-3.6039309
118,Ribatejada,40.6664949,-3.3919178
119,Rivas-Vaciamadrid,40.3536054,-3.5310879
120,Robledillo de la Jara,40.9529148,-3.5250504
121,Robledo de Chavela,40.5009201,-4.2380999
122,Robregordo,41.1064517,-3.5937466
123,Las Rozas de Madrid,40.4933095,-3.8758396
124,Rozas de Puerto Real,40.3098351,-4.4912111
125,San Agustín del Guadalix,40.679051,-3.6166004
126,San Fernando de Henares,40.4248548,-3.5350369
127,San Lorenzo de El Escorial,40.5926673,-4.1471642
128,San Martín de la Vega,40.2110462,-3.5771806
129,San Martín de Valdeiglesias,40.3625,-4.3986503
130,San Sebastián de los Reyes,40.5473698,-3.6260586
131,Santa María de la Alameda,40.5958248,-4.2579208
132,Santorcaz,40.4715789,-3.2335594
133,Los Santos de la Humosa,40.5012957,-3.2566803
134,La Serna del Monte,41.0305793,-3.6252636
135,Serranillos del Valle,40.2044509,-3.8851988
136,Sevilla la Nueva,40.3475422,-4.0275268
137,Somosierra,41.133207,-3.581478
138,Soto del Real,40.7534432,-3.7866573
139,Talamanca de Jarama,40.7454625,-3.5127366
140,Tielmes,40.2465011,-3.3136206
141,Titulcia,40.1379148,-3.5709978
142,Torrejón de Ardoz,40.4587767,-3.4793343
143,Torrejón de la Calzada,40.2006804,-3.7993298
144,Torrejón de Velasco,40.1869283,-3.7769069
145,Torrelaguna,40.8277273,-3.538293
146,Torrelodones,40.5762809,-3.928603
147,Torremocha de Jarama,40.8358114,-3.4966866
148,Torres de la Alameda,40.4021516,-3.360625
149,Tres Cantos,40.6065826,-3.7065333
150,Valdaracete,40.2107697,-3.1954758
151,Valdeavero,40.6309749,-3.3329368
152,Valdelaguna,40.1605777,-3.367827
153,Valdemanco,40.8736636,-3.6636949
154,Valdemaqueda,40.5110297,-4.2977731
155,Valdemorillo,40.5016772,-4.0688878
156,Valdemoro,40.1888604,-3.67143
157,Valdeolmos-Alalpardo,40.6385429,-3.4532436
158,Valdepiélagos,40.7610144,-3.4656251
159,Valdetorres de Jarama,40.6956481,-3.5146559
160,Valdilecha,40.2926854,-3.3002096
161,Valverde de Alcalá,40.4180359,-3.2996775
162,Velilla de San Antonio,40.367166,-3.4874435
163,El Vellón,40.7677965,-3.5820099
164,Venturada,40.7985257,-3.6207369
165,Villaconejos,40.1040079,-3.4850284
166,Villa del Prado,40.2764752,-4.3048032
167,Villalbilla,40.4323665,-3.2987815
168,Villamanrique de Tajo,40.0686973,-3.240078
169,Villamanta,40.2990939,-4.1090399
170,Villamantilla,40.3421033,-4.1300303
171,Villanueva de la Cañada,40.4472106,-4.002795
172,Villanueva del Pardillo,40.4949232,-3.9600065
173,Villanueva de Perales,40.3466066,-4.1012616
174,Villar del Olmo,40.3364465,-3.2355624
175,Villarejo de Salvanés,40.1683582,-3.2738764
176,Villaviciosa de Odón,40.3573787,-3.9002334
177,Villavieja del Lozoya,41.0063622,-3.6716291
178,Zarzalejo (estación),40.5392812,-4.1624845
